,FirstName_x,LastName_x,DateOfBirth_x,FullName_x,MatchedFullName,FullNameScore,FullNameIndex,MatchedFirstName,FirstNameScore,FirstNameIndex,MatchedLastName,LastNameScore,LastNameIndex,FirstName_y,LastName_y,DateOfBirth_y,Revenue,FullName_y
0,sarah,mitchell,1954-04-06,sarahmitchell,sarahmitchell,100.0,0,sarah,100.0,0,mitchell,100.0,0,sarah,mitchell,1954-04-06,464352,sarahmitchell
1,rhonda,villegas,1957-03-06,rhondavillegas,rhondavilleags,92.85714,1,rhonda,100.0,1,villeags,87.5,1,rhonda,villeags,1957-03-06,184099,rhondavilleags
2,ryan,jones,1955-11-02,ryanjones,ryanjones,100.0,612,ryan,100.0,2,jones,100.0,77,ryan,jones,2000-01-26,476390,ryanjones
3,chloe,gonzales,1964-11-07,chloegonzales,chleogonzales,92.30769,3,chleo,80.0,3,gonzales,100.0,3,chleo,gonzales,1964-11-07,44640,chleogonzales
4,tyler,serrano,2014-03-09,tylerserrano,tylerserrano,100.0,4,tyler,100.0,4,serrano,100.0,4,tyler,serrano,2014-03-09,236705,tylerserrano
5,cheryl,white,1977-12-19,cherylwhite,maberwhite,66.666664,102,cheryl,100.0,269,white,100.0,96,maber,white,1975-04-19,454400,maberwhite
6,anthony,mcfarland,1992-08-12,anthonymcfarland,anthonymcfarland,100.0,5,anthony,100.0,5,mcfarland,100.0,5,anthony,mcfarland,,353860,anthonymcfarland
7,ellen,kelley,2014-11-22,ellenkelley,ellenkelley,100.0,6,ellen,100.0,6,kelley,100.0,6,ellen,kelley,,472047,ellenkelley
8,julie,phillips,1993-08-11,juliephillips,juliephillips,100.0,588,julie,100.0,7,phillips,100.0,435,julie,phillips,1954-09-21,92862,juliephillips
9,wayne,herman,1935-04-14,wayneherman,wyaneherman,90.90909,8,wyane,80.0,8,herman,100.0,8,wyane,herman,1935-04-14,233347,wyaneherman
10,john,moore,1960-05-03,johnmoore,johnmoore,100.0,9,john,100.0,9,moore,100.0,9,john,moore,1960-05-03,35550,johnmoore
11,garrett,bowman,2001-04-17,garrettbowman,garrettbowman,100.0,10,garrett,100.0,10,bowman,100.0,10,garrett,bowman,2001-04-17,352319,garrettbowman
12,antonio,thomas,1943-01-28,antoniothomas,antoinothomas,92.30769,11,antoino,85.71429,11,thomas,100.0,11,antoino,thomas,1943-01-28,208068,antoinothomas
13,robert,mckenzie,2015-08-07,robertmckenzie,robertmckenzei,92.85714,12,robert,100.0,12,mckenzei,87.5,12,robert,mckenzei,2015-08-07,233334,robertmckenzei
14,jacob,munoz,1961-06-24,jacobmunoz,jaimeumnoz,70.0,273,jacob,100.0,59,umnoz,80.0,232,jaime,umnoz,1985-12-13,270442,jaimeumnoz
15,karen,myers,1975-08-22,karenmyers,karenymers,90.0,13,karen,100.0,13,myers,100.0,131,karen,ymers,1975-08-22,8746,karenymers
16,lisa,anderson,2019-07-07,lisaanderson,liasanderson,91.666664,14,lisa,100.0,229,anderson,100.0,14,lias,anderson,2019-07-07,213593,liasanderson
17,sharon,little,1980-10-31,sharonlittle,sharonlittle,100.0,15,sharon,100.0,15,little,100.0,15,sharon,little,1980-10-31,333594,sharonlittle
18,mark,byrd,1930-03-23,markbyrd,markharris,55.555557,125,mark,100.0,95,boyd,75.0,35,mark,harris,1947-10-10,374196,markharris
19,melissa,washington,1998-08-10,melissawashington,melissawashington,100.0,16,melissa,100.0,16,washington,100.0,16,melissa,washington,1998-08-10,285086,melissawashington
20,daniel,reed,1981-03-20,danielreed,danielreed,100.0,17,daniel,100.0,17,reed,100.0,17,daniel,reed,1981-03-20,169729,danielreed
21,chad,curtis,2010-07-16,chadcurtis,chadcurtis,100.0,18,chad,100.0,18,curtis,100.0,18,chad,curtis,2010-07-16,55112,chadcurtis
22,matthew,bailey,1927-05-01,matthewbailey,matthewbaliey,92.30769,19,matthew,100.0,19,bailey,100.0,360,matthew,baliey,1927-05-01,439916,matthewbaliey
23,amanda,murray,1951-11-27,amandamurray,amnadamurray,91.666664,20,amanda,100.0,43,murray,100.0,20,amnada,murray,1951-11-27,68876,amnadamurray
24,jeffrey,orozco,1989-02-26,jeffreyorozco,jeffreyorozco,100.0,21,jeffrey,100.0,21,orozco,100.0,21,jeffrey,orozco,1989-02-26,454700,jeffreyorozco
25,teresa,campbell,1993-06-26,teresacampbell,teresacampbell,100.0,22,teresa,100.0,22,campbell,100.0,22,teresa,campbell,1993-06-26,462940,teresacampbell
26,amy,miller,2018-11-22,amymiller,jaemsmiller,80.0,348,amy,100.0,215,miller,100.0,78,jaems,miller,1967-03-15,258901,jaemsmiller
27,ashley,smith,2019-01-23,ashleysmith,ashelysmith,90.90909,23,ashley,100.0,130,smith,100.0,23,ashely,smith,2019-01-23,165660,ashelysmith
28,robert,zimmerman,2008-01-05,robertzimmerman,robertzimemrman,93.333336,24,robert,100.0,12,zimmerman,100.0,421,robert,zimemrman,,64974,robertzimemrman
29,jennifer,gutierrez,1929-04-17,jennifergutierrez,jennifermooer,66.666664,367,jennifer,100.0,65,gutierrez,100.0,452,jennifer,mooer,1946-04-03,194079,jennifermooer
30,rebecca,weeks,2020-07-13,rebeccaweeks,rebeccaweeks,100.0,25,rebecca,100.0,24,weeks,100.0,25,rebecca,weeks,2020-07-13,267073,rebeccaweeks
31,julie,nunez,2004-08-30,julienunez,julienunez,100.0,26,julie,100.0,7,nunez,100.0,26,julie,nunez,2004-08-30,144900,julienunez
32,cody,bailey,1924-10-09,codybailey,codybialey,90.0,27,cody,100.0,25,bailey,100.0,360,cody,bialey,1924-10-09,196093,codybialey
33,laura,thompson,1996-10-23,laurathompson,laruathompson,92.30769,28,laura,100.0,351,thompson,100.0,28,larua,thompson,1996-10-23,234295,laruathompson
34,robert,contreras,2014-01-21,robertcontreras,roberttorers,81.48148,624,robert,100.0,12,contreras,100.0,544,robert,torers,1931-12-24,274113,roberttorers
35,jessica,young,1998-02-18,jessicayoung,ericoyung,66.666664,745,jessica,100.0,28,young,100.0,148,eric,oyung,1927-11-02,146878,ericoyung
36,kristen,alvarado,1935-02-13,kristenalvarado,kristinavillarrael,66.666664,720,kristin,85.71429,429,vargas,57.142857,171,kristina,villarrael,1968-08-26,302721,kristinavillarrael
37,dillon,torres,1983-06-13,dillontorres,dillontorres,100.0,29,dillon,100.0,27,torres,100.0,29,dillon,torres,1983-06-13,203607,dillontorres
38,jessica,chambers,1948-01-31,jessicachambers,jessicachamebrs,93.333336,30,jessica,100.0,28,chambers,100.0,542,jessica,chamebrs,1948-01-31,118998,jessicachamebrs
39,olivia,smith,1948-05-25,oliviasmith,oliviasmtih,90.90909,31,olivia,100.0,29,smith,100.0,23,olivia,smtih,1948-05-25,225515,oliviasmtih
40,michael,robinson,1939-10-09,michaelrobinson,michaeljhonston,80.0,650,michael,100.0,52,robinson,100.0,164,michael,jhonston,1991-09-02,264351,michaeljhonston
41,christine,le,1957-12-03,christinele,christineel,90.90909,32,christine,100.0,30,le,100.0,359,christine,el,1957-12-03,205746,christineel
42,scott,walters,1988-04-27,scottwalters,scottrogers,69.565216,795,scott,100.0,433,walker,76.92308,54,scott,rogers,1965-03-11,188100,scottrogers
43,daniel,burton,1974-10-23,danielburton,adnielburton,91.666664,33,daniel,100.0,17,burton,100.0,33,adniel,burton,1974-10-23,226302,adnielburton
44,james,kelly,2005-06-03,jameskelly,jameskelly,100.0,34,james,100.0,32,kelly,100.0,34,james,kelly,2005-06-03,69049,jameskelly
45,catherine,boyd,1942-11-07,catherineboyd,catherineboyd,100.0,35,catherine,100.0,33,boyd,100.0,35,catherine,boyd,1942-11-07,491829,catherineboyd
46,paul,shepard,2011-01-16,paulshepard,paulsehpard,90.90909,36,paul,100.0,34,shepard,100.0,532,paul,sehpard,2011-01-16,47850,paulsehpard
47,angela,perry,1945-06-29,angelaperry,melissaperry,69.565216,619,angela,100.0,139,perry,100.0,213,melissa,perry,1980-01-25,267798,melissaperry
48,thomas,smith,1976-02-23,thomassmith,thomassmith,100.0,37,thomas,100.0,35,smith,100.0,23,thomas,smith,1976-02-23,425470,thomassmith
49,derrick,reilly,1933-08-08,derrickreilly,ericakeller,66.666664,221,eric,72.72727,166,reilly,100.0,256,erica,keller,1989-10-31,471725,ericakeller
50,jamie,strong,1929-07-26,jamiestrong,jamiestrong,100.0,38,jamie,100.0,36,strong,100.0,37,jamie,strong,1929-07-26,259222,jamiestrong
51,kimberly,wallace,1975-02-09,kimberlywallace,kimebrlywallace,93.333336,39,kimberly,100.0,175,wallace,100.0,38,kimebrly,wallace,1975-02-09,401338,kimebrlywallace
52,erin,rodriguez,1978-08-17,erinrodriguez,brittneyrodriguez,80.0,419,erin,100.0,42,rodriguez,100.0,301,brittney,rodriguez,1990-11-18,481636,brittneyrodriguez
53,matthew,mcdonald,1982-12-04,matthewmcdonald,matthewjackson,68.965515,345,matthew,100.0,19,mcdonald,100.0,494,matthew,jackson,1977-04-13,102346,matthewjackson
54,heather,scott,2005-07-09,heatherscott,heatherscott,100.0,40,heather,100.0,38,scott,100.0,39,heather,scott,2005-07-09,257671,heatherscott
55,angela,lyons,1981-01-13,angelalyons,angelayoung,81.818184,171,angela,100.0,139,leon,66.666664,70,angela,young,1950-04-15,150200,angelayoung
56,stephanie,long,1991-07-25,stephanielong,stephaniehowell,71.42857,242,stephanie,100.0,182,leon,75.0,70,stephanie,howell,2014-05-10,15130,stephaniehowell
57,tammy,bryant,1925-09-12,tammybryant,tammybryant,100.0,41,tammy,100.0,39,bryant,100.0,40,tammy,bryant,1925-09-12,358024,tammybryant
58,kara,douglas,2005-12-19,karadouglas,karadouglas,100.0,42,kara,100.0,40,douglas,100.0,41,kara,douglas,2005-12-19,52530,karadouglas
59,nicholas,barron,2024-02-04,nicholasbarron,nicholasbarorn,92.85714,43,nicholas,100.0,41,barorn,83.333336,42,nicholas,barorn,2024-02-04,373512,nicholasbarorn
60,elizabeth,lucas,1949-05-20,elizabethlucas,elizabethwets,74.07407,410,elizabeth,100.0,195,lucas,100.0,324,elizabeth,wets,2009-08-06,282615,elizabethwets
61,erin,pennington,1998-12-08,erinpennington,erinpennington,100.0,44,erin,100.0,42,pennington,100.0,43,erin,pennington,1998-12-08,449677,erinpennington
62,amanda,sanchez,1945-12-03,amandasanchez,amandasancehz,92.30769,45,amanda,100.0,43,sanchez,100.0,198,amanda,sancehz,1945-12-03,63337,amandasancehz
63,connor,harvey,1956-10-31,connorharvey,connorahrvey,91.666664,46,connor,100.0,44,ahrvey,83.333336,45,connor,ahrvey,1956-10-31,479037,connorahrvey
64,ronald,mcdonald,1929-10-27,ronaldmcdonald,ronaldmoralse,74.07407,788,ronald,100.0,93,mcdonald,100.0,494,ronald,moralse,1965-04-20,437719,ronaldmoralse
65,desiree,owens,1924-07-01,desireeowens,desrieeowens,91.666664,47,desriee,85.71429,45,owens,100.0,46,desriee,owens,1924-07-01,392987,desrieeowens
66,christopher,best,1993-03-23,christopherbest,christopherjones,83.870964,304,christopher,100.0,105,ewst,75.0,543,christopher,jones,1963-01-23,285452,christopherjones
67,amber,randall,2006-04-27,amberrandall,ambrerandall,91.666664,48,amber,100.0,178,randall,100.0,47,ambre,randall,2006-04-27,219871,ambrerandall
68,ryan,lucero,2017-01-19,ryanlucero,ryanlucero,100.0,49,ryan,100.0,2,lucero,100.0,48,ryan,lucero,2017-01-19,161671,ryanlucero
